room_type,availability_365,host_is_superhost,cleaning_fee,cost_per_one_night,property_type,accommodates,cancellation_policy,host_identity_verified,bedrooms,number_of_reviews,city,beds,security_deposit,zipcode,minimum_nights,bathroom_per_person,latitude,longitude,bedroom_per_person,price
0.0,0.0,0.0,100.0,71,0.0,6.0,2.0,0.0,3.0,1.0,0.0,3.0,500.0,2026.0,5.0,0.16666666666666666,-33.89551638,151.2659563,0.5,355.0
0.0,0.0,0.0,126.0,50,0.0,2.0,2.0,0.0,1.0,19.0,0.0,1.0,250.0,2026.0,2.0,0.5,-33.89616572,151.2730749,0.5,100.0
1.0,0.0,0.0,0.0,23,0.0,2.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,2026.0,3.0,0.5,-33.89320678,151.273009,0.5,70.0
2.0,364.0,0.0,132.0,337,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2026.0,1.0,0.5,-33.89200186,151.2748718,0.5,337.0
0.0,0.0,0.0,0.0,75,0.0,4.0,2.0,0.0,2.0,1.0,0.0,3.0,500.0,2026.0,4.0,0.375,-33.89279187,151.2715734,0.5,300.0
1.0,177.0,0.0,0.0,36,0.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,2026.0,3.0,0.75,-33.89435467,151.2734705,0.5,108.0
1.0,0.0,0.0,0.0,8,15.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2026.0,7.0,2.0,-33.89122737,151.2667639,1.0,60.0
0.0,0.0,0.0,100.0,58,0.0,4.0,1.0,1.0,2.0,1.0,0.0,2.0,1000.0,2026.0,5.0,0.25,-33.887444,151.2739812,0.5,290.0
1.0,89.0,0.0,10.0,9,0.0,2.0,0.0,1.0,1.0,3.0,0.0,1.0,300.0,2026.0,5.0,0.5,-33.88914433,151.2728555,0.5,45.0
0.0,0.0,0.0,160.0,50,15.0,4.0,2.0,1.0,2.0,3.0,0.0,2.0,0.0,2022.0,4.0,0.25,-33.8908081,151.2433604,0.5,200.0
0.0,0.0,0.0,120.0,72,0.0,6.0,1.0,0.0,3.0,0.0,0.0,3.0,1200.0,2026.0,5.0,0.16666666666666666,-33.88445057,151.2786903,0.5,360.0
2.0,0.0,0.0,0.0,10,0.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,2026.0,4.0,1.0,-33.88717138,151.271126,1.0,40.0
0.0,364.0,0.0,100.0,60,0.0,3.0,2.0,1.0,0.0,82.0,0.0,2.0,400.0,2026.0,2.0,0.3333333333333333,-33.89105909,151.2731384,0.0,120.0
1.0,0.0,0.0,0.0,80,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2026.0,1.0,1.0,-33.89383092,151.273165,1.0,80.0
1.0,179.0,0.0,0.0,60,0.0,1.0,2.0,1.0,1.0,7.0,0.0,1.0,0.0,2026.0,2.0,1.0,-33.89689757,151.272218,1.0,120.0
1.0,0.0,0.0,40.0,40,0.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,200.0,2026.0,2.0,0.5,-33.89216246,151.2708472,0.5,80.0
0.0,358.0,0.0,75.0,169,0.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,750.0,2026.0,1.0,0.5,-33.89472308,151.2603938,0.5,169.0
0.0,194.0,0.0,80.0,100,0.0,4.0,2.0,1.0,2.0,2.0,0.0,1.0,150.0,2026.0,2.0,0.25,-33.88570061,151.2724229,0.5,200.0
1.0,0.0,0.0,50.0,21,0.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,2026.0,4.0,0.75,-33.89529706,151.2720719,0.5,85.0
0.0,259.0,1.0,65.0,169,0.0,4.0,2.0,1.0,1.0,41.0,0.0,2.0,250.0,2026.0,1.0,0.25,-33.89144269,151.2739728,0.25,169.0
0.0,0.0,0.0,40.0,60,0.0,3.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,2026.0,2.0,0.3333333333333333,-33.89633632,151.2613076,0.3333333333333333,120.0
