city,longitude,latitude,review_scores_rating,number_of_reviews,minimum_nights,accommodates,bathrooms,bedrooms,beds,security_deposit,cleaning_fee,property_type,room_type,availability_365,host_identity_verified,host_is_superhost,cancellation_policy,price,zipcode,state
Alexandria,151.1989521,-33.89818584,90.0,3,3,2,1.0,1.0,1.0,400.0,80.0,House,Entire home/apt,0,1.0,0.0,strict_14_with_grace_period,188.0,2015,NSW
Bondi Beach,151.2732642,-33.88951049,95.0,9,2,3,1.0,0.0,2.0,0.0,56.0,Apartment,Entire home/apt,0,0.0,0.0,moderate,124.0,2026.0,NSW
Leichhardt,151.1600545,-33.88790708,95.0,4,14,4,2.0,2.0,2.0,200.0,130.0,Apartment,Entire home/apt,134,1.0,0.0,strict_14_with_grace_period,144.0,2040,NSW
Surry Hills,151.2137912,-33.87875053,100.0,1,7,2,1.0,1.0,1.0,500.0,201.0,Apartment,Entire home/apt,103,0.0,0.0,strict_14_with_grace_period,179.0,2010,NSW
Paddington,151.2218377,-33.88249615,98.0,34,2,2,1.0,0.0,1.0,250.0,50.0,Apartment,Entire home/apt,41,0.0,1.0,moderate,130.0,2021.0,NSW
Paddington,151.2362498,-33.88660854,100.0,42,1,2,2.0,1.0,1.0,0.0,30.0,House,Private room,154,1.0,1.0,moderate,80.0,2021.0,NSW
Bondi Beach,151.2685455,-33.89507483,93.0,6,2,4,2.0,2.0,2.0,600.0,70.0,Apartment,Entire home/apt,315,0.0,0.0,moderate,167.0,2026.0,NSW
Bondi Beach,151.2742468,-33.88886358,,0,3,1,1.0,1.0,1.0,0.0,0.0,Apartment,Private room,0,1.0,0.0,flexible,80.0,2026.0,NSW
Manly,151.2801743,-33.79698308,,0,7,2,1.0,2.0,2.0,400.0,0.0,Apartment,Entire home/apt,0,0.0,0.0,strict_14_with_grace_period,300.0,2095,NSW
Revesby,151.0170489,-33.94824008,,0,7,2,2.5,1.0,1.0,200.0,20.0,House,Private room,89,0.0,0.0,strict_14_with_grace_period,40.0,2212,NSW
Freshwater,151.2856939,-33.77760015,100.0,1,7,6,2.0,3.0,3.0,600.0,100.0,House,Entire home/apt,126,0.0,0.0,strict_14_with_grace_period,299.0,2096,NSW
Bellevue Hill,151.2642865,-33.88691412,98.0,10,2,3,1.0,1.0,1.0,128.0,70.0,Apartment,Entire home/apt,358,1.0,0.0,strict_14_with_grace_period,117.0,2023.0,NSW
Potts Point,151.2237879,-33.87159293,87.0,28,2,5,1.0,1.0,2.0,700.0,55.0,Apartment,Entire home/apt,315,0.0,0.0,strict_14_with_grace_period,295.0,2011,NSW
Darlinghurst,151.2184321,-33.87717421,96.0,16,5,1,1.0,1.0,1.0,500.0,60.0,House,Private room,353,1.0,0.0,strict_14_with_grace_period,76.0,2010,NSW
Bondi Beach,151.2702398,-33.88755907,100.0,1,2,2,1.0,1.0,1.0,0.0,0.0,Apartment,Private room,89,1.0,0.0,flexible,76.0,2026.0,NSW
Edgecliff,151.2371751,-33.88014239,90.0,39,15,1,,1.0,1.0,200.0,0.0,Apartment,Private room,365,1.0,0.0,moderate,94.0,2027,NSW
St Clair,150.7749753,-33.79785439,100.0,4,1,2,2.0,1.0,2.0,0.0,0.0,House,Private room,365,1.0,0.0,flexible,120.0,2759,NSW
Newport,151.3064511,-33.64753304,100.0,2,5,10,3.5,5.0,5.0,2000.0,300.0,House,Entire home/apt,364,1.0,0.0,strict_14_with_grace_period,1201.0,2106,NSW
Dundas Valley,151.0609048,-33.79454256,100.0,1,1,2,1.5,1.0,1.0,0.0,15.0,House,Private room,89,0.0,0.0,moderate,59.0,2117.0,NSW
Paddington,151.2372496,-33.88390105,,7,2,2,1.0,1.0,1.0,0.0,0.0,House,Private room,360,1.0,0.0,flexible,130.0,2021.0,NSW
Avalon Beach,151.3253673,-33.62683023,,0,5,6,1.5,3.0,3.0,800.0,80.0,House,Entire home/apt,90,0.0,0.0,strict_14_with_grace_period,875.0,2107.0,NSW
Glebe,151.1863725,-33.87648002,,0,3,2,1.0,2.0,1.0,150.0,30.0,Apartment,Private room,1,0.0,0.0,strict_14_with_grace_period,70.0,2037.0,NSW
Greenwich,151.1838653,-33.82137042,100.0,2,2,4,1.0,2.0,2.0,200.0,50.0,House,Private room,365,0.0,0.0,strict_14_with_grace_period,179.0,2065,NSW
Chippendale,151.1966282,-33.88340984,100.0,1,3,2,1.0,1.0,1.0,0.0,10.0,Apartment,Private room,0,1.0,0.0,moderate,80.0,2008,NSW
Doonside,150.874664,-33.7764146,,1,5,1,1.0,1.0,1.0,0.0,0.0,House,Private room,364,0.0,0.0,flexible,59.0,2767,NSW
Chippendale,151.1995081,-33.88843492,,0,1,3,1.0,1.0,1.0,0.0,0.0,Apartment,Entire home/apt,0,0.0,0.0,flexible,200.0,2008,NSW
Northwood,151.177504,-33.8294312,96.0,14,2,10,2.5,4.0,4.0,700.0,245.0,House,Entire home/apt,0,0.0,0.0,strict_14_with_grace_period,700.0,2066.0,NSW
Sydney,151.1439342,-33.90077062,,0,14,2,1.0,0.0,1.0,1000.0,0.0,Apartment,Entire home/apt,0,0.0,0.0,flexible,64.0,2049.0,NSW
Kirribilli,151.2175947,-33.85010771,,0,23,1,1.0,1.0,1.0,0.0,200.0,Apartment,Private room,0,0.0,0.0,flexible,65.0,2061,NSW
Randwick,151.2404385,-33.90973508,100.0,1,4,2,1.0,1.0,1.0,0.0,0.0,Apartment,Entire home/apt,0,1.0,0.0,strict_14_with_grace_period,150.0,2031.0,NSW
Surry Hills,151.2098068,-33.88451627,,0,2,2,1.0,1.0,1.0,250.0,126.0,Apartment,Entire home/apt,0,0.0,0.0,strict_14_with_grace_period,120.0,2010.0,NSW
Marrickville,151.1520359,-33.92221869,,0,3,1,1.0,0.0,1.0,0.0,0.0,House,Private room,0,0.0,0.0,flexible,40.0,2204.0,NSW
Annandale,151.1730942,-33.8859232,,0,1,1,1.0,0.0,1.0,300.0,50.0,Apartment,Entire home/apt,0,0.0,0.0,flexible,74.0,2038,NSW
Surry Hills,151.2072493,-33.8897682,,0,1,2,1.5,1.0,1.0,0.0,15.0,Apartment,Private room,0,1.0,0.0,flexible,65.0,2010,NSW
Pyrmont,151.1969273,-33.87115445,91.0,31,3,4,2.0,2.0,3.0,0.0,50.0,Apartment,Entire home/apt,39,1.0,1.0,moderate,200.0,2009,NSW
Avalon Beach,151.33748,-33.61887315,,0,14,10,3.0,5.0,7.0,1000.0,500.0,House,Entire home/apt,206,0.0,0.0,flexible,664.0,2107.0,NSW
Marrickville,151.1607056,-33.9125173,89.0,88,2,4,1.0,2.0,2.0,600.0,40.0,Apartment,Entire home/apt,76,1.0,0.0,moderate,140.0,2204,NSW
Bondi beach ,151.2820348,-33.88865641,99.0,28,1,4,2.0,2.0,2.0,1000.0,200.0,Apartment,Entire home/apt,63,1.0,1.0,moderate,250.0,2024,NSW
Elizabeth Bay,151.2277132,-33.87152974,100.0,1,5,2,1.0,1.0,1.0,0.0,0.0,Apartment,Private room,0,1.0,0.0,flexible,196.0,2011.0,NSW
Rosebery,151.2088059,-33.91403055,94.0,34,1,2,1.0,1.0,1.0,0.0,10.0,Apartment,Private room,195,0.0,0.0,flexible,76.0,2018,NSW
Paddington,151.2309409,-33.88444551,100.0,1,3,2,1.0,1.0,1.0,2000.0,120.0,Cottage,Entire home/apt,89,1.0,0.0,strict_14_with_grace_period,250.0,2021.0,NSW
Marrickville,151.1587648,-33.90034706,,0,4,2,1.5,1.0,1.0,400.0,0.0,House,Private room,346,1.0,0.0,strict_14_with_grace_period,40.0,2204,NSW
Hillsdale,151.225558,-33.9516194,100.0,2,7,2,1.0,1.0,1.0,1000.0,300.0,Apartment,Private room,179,0.0,0.0,flexible,50.0,2036.0,NSW
Surry Hills,151.2166989,-33.88904463,100.0,3,2,2,1.0,1.0,1.0,150.0,115.0,Apartment,Entire home/apt,0,0.0,0.0,strict_14_with_grace_period,170.0,2010.0,NSW
Redfern,151.2068732,-33.8907152,87.0,3,3,2,2.0,1.0,1.0,0.0,20.0,House,Private room,0,0.0,0.0,moderate,85.0,2016,NSW
Randwick,151.2487001,-33.91258044,87.0,3,4,3,1.0,1.0,1.0,0.0,0.0,Apartment,Entire home/apt,0,1.0,0.0,flexible,175.0,2031,NSW
