city,longitude,latitude,review_scores_rating,number_of_reviews,minimum_nights,accommodates,bathrooms,bedrooms,beds,security_deposit,cleaning_fee,property_type,room_type,availability_365,host_identity_verified,host_is_superhost,cancellation_policy,price,zipcode
Bondi Beach,151.2834064,-33.89350686,89.0,8,15,3,1.0,1.0,1.0,0.0,80.0,Apartment,Entire home/apt,334,t,f,strict_14_with_grace_period,200.0,2026
Bondi Beach,151.2767717,-33.88861034,99.0,14,1,2,1.0,1.0,1.0,0.0,60.0,Apartment,Private room,18,f,t,moderate,111.0,2026
Bondi Beach,151.251929,-33.89495766,92.0,5,3,6,1.0,3.0,4.0,850.0,100.0,Apartment,Entire home/apt,0,t,f,moderate,230.0,2022
Bondi Beach,151.2452543,-33.89433295,91.0,23,2,2,1.0,1.0,2.0,200.0,20.0,House,Private room,171,t,t,strict_14_with_grace_period,85.0,2022
Bondi Beach,151.2644871,-33.89110589,,0,7,1,1.0,1.0,1.0,300.0,120.0,Apartment,Private room,0,t,f,flexible,50.0,2026
Bondi Beach,151.2688325,-33.88879629,,0,2,2,1.0,1.0,1.0,0.0,0.0,Apartment,Private room,0,f,f,flexible,80.0,2026
Bondi Beach,151.2716919,-33.89305683,,0,2,2,1.0,1.0,1.0,250.0,120.0,Apartment,Entire home/apt,0,f,f,flexible,179.0,2026
Bondi Beach,151.2621568,-33.88863721,90.0,18,1,2,1.0,1.0,1.0,0.0,0.0,Apartment,Private room,348,t,f,flexible,59.0,2026
Bondi Beach,151.2699725,-33.88883216,100.0,11,1,2,1.0,1.0,1.0,0.0,50.0,Apartment,Private room,0,t,t,flexible,72.0,2026
Bondi Beach,151.2837274,-33.88790512,95.0,4,3,1,1.0,1.0,1.0,0.0,0.0,House,Private room,0,f,f,moderate,65.0,2026
Bondi Beach,151.2528,-33.89114657,80.0,2,4,2,2.0,1.0,1.0,151.0,180.0,Apartment,Entire home/apt,104,t,f,strict_14_with_grace_period,196.0,2022
Bondi Beach,151.2815861,-33.88685761,,1,7,6,2.0,2.0,3.0,1000.0,100.0,Apartment,Entire home/apt,0,t,f,flexible,300.0,2026
